epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,1,1,false,trade_planning,65535,1,1,6612,2400,120,260,11918,0,19500,582,36,0,0,0,185970027,0,26405193,0,26405193,1247945948,0,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,7768140,-7768140,0,4879070942,1051020948,1051020948,0,697010321,1051020948,190786364,0,22235800,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,3601,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14243856384,0,0,0,0,0,0,0,0,0,118,0,0,0,22023376,74400,21948976,190787000,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,false,trade_planning,65535,2,2,6659,2400,120,260,11918,0,20322,577,47,0,0,0,191963042,0,27749358,0,27749358,1290563108,0,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,8326050,-8326050,0,5340303022,1094763108,1094763108,0,762900620,1094763108,197355361,0,22868200,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,7358,0,0,1,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14294188032,0,0,0,0,0,0,0,0,0,127,0,0,0,22654774,78000,22576774,197356000,1,0,0,0,0,0,0,0,0,0,0,0
3,3,3,false,trade_planning,65535,3,3,6700,2400,120,260,11918,0,21086,541,41,0,0,0,201246729,0,28650776,0,28650776,1324632316,0,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,8362060,-8362060,0,5912259695,1141307316,1141307316,0,844608715,1141307316,206973322,0,24084500,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,11181,0,0,2,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14323548160,0,0,0,0,0,0,0,0,0,134,0,0,0,23858048,80100,23777948,206974000,2,0,0,0,0,0,0,0,0,0,0,0
4,4,4,false,trade_planning,65535,4,4,6748,2400,120,260,11918,0,20868,581,48,0,0,0,199544148,0,28331797,0,28331797,1327232472,0,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,8312340,-8312340,0,5411491047,1130532472,1130532472,0,773070328,1130532472,204128355,0,23739400,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,8192,11181,0,935,2,0,0,initial_topology_capture,935,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14306770944,0,0,0,0,0,0,0,0,0,134,0,0,0,23523970,78900,23445070,204129000,3,0,0,0,0,0,0,0,0,0,0,0
5,5,5,false,trade_planning,65535,5,5,6788,2400,120,260,11918,0,20290,582,40,0,0,0,195230023,0,27497242,0,27497242,1301648872,0,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,8047430,-8047430,0,5022365382,1104898872,1104898872,0,717480944,1104898872,201151367,0,23633800,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,3,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14256439296,0,0,0,0,0,0,0,0,0,127,0,0,0,23422378,75300,23347078,201152000,4,0,0,0,0,0,0,0,0,0,0,0
6,6,6,false,trade_planning,65535,6,6,6788,2400,120,260,11918,0,19500,582,36,0,0,9036852,197904539,2420712,26621643,1857,26621643,1643443423,9324,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,7752516,-7752516,0,2845477254,1446558543,1446558543,49444,406496873,1446509099,235696988,2747200,19488440,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,4,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13203668992,0,0,0,0,0,0,0,0,0,162,0,0,0,22235716,12192969,10042747,235705529,5,0,0,0,0,0,0,0,0,0,0,0
7,7,7,false,trade_planning,65535,7,7,6788,2400,120,260,11918,0,20322,577,47,0,0,9527618,204396579,2539940,27967773,1940,27967773,1702567207,9760,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,8309670,-8309670,0,3062413261,1506809212,1506809212,51765,437487732,1506757447,243166621,3181033,19686847,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,5,0,0,initial_topology_capture,0,0,0,3268,0,40,20,5,0,0,0,0,20,0,15,0,0,0,5,5,0,0,13203668992,740133368,0,0,0,0,0,0,0,0,150,0,0,0,22868032,12713679,10154353,243167869,6,6,0,0,0,0,0,0,0,0,0,0
8,8,8,false,trade_planning,65535,8,8,6788,2400,120,260,11918,0,21086,541,41,0,0,9825026,214242650,2600448,28875932,1985,28875932,1753043537,10022,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,8345239,-8345239,0,3311079378,1569761707,1569761707,53192,473011469,1569708515,255038462,3031003,21053177,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,6,0,0,initial_topology_capture,0,0,0,8159,0,120,60,15,0,0,0,0,52,0,45,0,0,0,15,10,0,0,13203668992,1978081603,0,0,0,0,0,0,0,0,143,0,0,0,24084332,13233619,10850713,255039839,7,7,0,0,0,0,0,0,0,0,0,0
9,9,9,false,trade_planning,65535,9,9,6788,2400,120,260,11918,0,20868,581,48,0,0,9736556,212396610,2564372,28555910,1981,28555910,1751375804,9918,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,8295771,-8295771,0,3123936159,1554718489,1554718489,52603,446276728,1554665886,250985577,3061840,20677240,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,673,6,0,0,initial_topology_capture,673,2046,0,8159,0,120,60,15,0,0,0,0,52,0,45,0,0,0,15,0,0,0,13203668992,0,0,0,0,0,0,0,0,0,155,0,0,0,23739232,13084885,10654347,250987412,8,0,0,0,0,0,0,0,0,0,0,0
10,10,10,false,trade_planning,65535,10,10,6788,2400,120,260,11918,0,20290,582,40,0,0,9641982,208104503,2443144,27718156,1915,27718156,1721139894,9470,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,8031617,-8031617,0,2950693975,1524430711,1524430711,50287,421527834,1524380424,247047676,2956071,20677329,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,7,0,0,initial_topology_capture,0,0,0,15329,0,208,103,29,8,0,8,1,84,0,73,0,0,0,28,14,1,0,13203668992,2065541031,0,0,0,0,0,0,0,0,151,0,0,0,23633590,12993493,10640097,247045536,9,9,0,0,0,0,0,0,0,0,0,0
11,11,11,false,trade_planning,65535,11,11,6788,2400,120,260,11918,0,19500,582,36,0,0,10301182,227340650,2481954,26623015,22638208,26623015,2095252580,34119632,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,13007590,-13007590,0,2226219736,2032283614,1864255714,47766,318031515,1864207948,267593013,4331167,17899157,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,801,7,0,0,initial_topology_capture,801,1972,0,15329,0,208,103,29,8,0,8,1,84,0,73,0,0,0,26,0,2,0,13203668992,0,0,0,0,0,0,0,0,0,148,0,0,0,22233032,13213935,9019097,267330110,10,0,0,0,0,0,0,0,0,0,0,0
